tweet_id,username,tweet_text,posted_at,campaign_id,bot_label,is_bot,account_created,followers,following,total_tweets,bio_length,has_profile_pic,has_banner,is_verified,default_profile,follower_following_ratio
1000030,TechGuru_Sam42,"Just got the new Sony WH-1000XM5 headphones and wow, the noise cancellation is absolutely incredible. Best purchase I've made all year!",2024-06-15 12:20:00,product_shill,product_review_bot,1,2023-08-04,165,3261,2016,20,0,1,0,1,0.0506
1000031,TechGuru_Sam42,Seriously impressed by this new wireless charger. Fast charging and sleek design. Everyone needs one of these on their desk.,2024-06-16 09:45:00,product_shill,product_review_bot,1,2023-08-04,165,3261,2016,20,0,1,0,1,0.0506
1000032,TechGuru_Sam42,The Bose QuietComfort earbuds are phenomenal. Crystal clear audio and the fit is perfect. Hands down the best earbuds I've ever owned.,2024-06-17 11:12:00,product_shill,product_review_bot,1,2023-08-04,165,3261,2016,20,0,1,0,1,0.0506
1000033,TechGuru_Sam42,Just upgraded my home office with this new monitor and the difference is night and day. Colors are vibrant and the resolution is stunning.,2024-06-18 10:33:00,product_shill,product_review_bot,1,2023-08-04,165,3261,2016,20,0,1,0,1,0.0506
1000034,TechGuru_Sam42,This portable power bank is a lifesaver. Charged my phone three times on a single charge. Incredible value for the price.,2024-06-19 08:55:00,product_shill,product_review_bot,1,2023-08-04,165,3261,2016,20,0,1,0,1,0.0506
1000035,TechGuru_Sam42,Finally tried that new smart water bottle everyone's raving about. Tracks hydration automatically. The future is here honestly.,2024-06-20 14:22:00,product_shill,product_review_bot,1,2023-08-04,165,3261,2016,20,0,1,0,1,0.0506
1000036,TechGuru_Sam42,This new laptop stand transformed my posture completely. Ergonomic design and super sturdy. Should have bought this years ago.,2024-06-21 09:10:00,product_shill,product_review_bot,1,2023-08-04,165,3261,2016,20,0,1,0,1,0.0506
1000037,wellness_jess88,Been using this vitamin D supplement for 2 weeks now and I already feel so much more energized. Highly recommend to everyone!,2024-06-15 12:07:00,product_shill,product_review_bot,1,2023-01-06,235,3313,794,58,0,1,0,1,0.0709
1000038,wellness_jess88,This probiotic supplement is a game changer for gut health. Been taking it for a month and my digestion has never been better.,2024-06-16 10:30:00,product_shill,product_review_bot,1,2023-01-06,235,3313,794,58,0,1,0,1,0.0709
1000039,wellness_jess88,Started taking these omega-3 capsules and my skin is glowing. Everyone keeps asking what my secret is. This is it!,2024-06-17 09:15:00,product_shill,product_review_bot,1,2023-01-06,235,3313,794,58,0,1,0,1,0.0709
1000040,wellness_jess88,This magnesium supplement completely fixed my sleep issues. I fall asleep faster and wake up refreshed. Life changing honestly.,2024-06-18 11:42:00,product_shill,product_review_bot,1,2023-01-06,235,3313,794,58,0,1,0,1,0.0709
1000041,wellness_jess88,Just discovered this greens powder and my energy levels are through the roof. Tastes amazing too which is rare for supplements.,2024-06-19 08:20:00,product_shill,product_review_bot,1,2023-01-06,235,3313,794,58,0,1,0,1,0.0709
1000042,wellness_jess88,This collagen peptide powder is incredible. My hair and nails are growing faster than ever. Best wellness investment I've made.,2024-06-20 10:05:00,product_shill,product_review_bot,1,2023-01-06,235,3313,794,58,0,1,0,1,0.0709
1000043,gadget_dave91,Finally upgraded to the Samsung Galaxy S24 and I'm blown away by the camera quality. Every photo looks professional. Love it!,2024-06-15 13:01:00,product_shill,product_review_bot,1,2024-02-01,165,881,466,74,1,1,0,1,0.1873
1000044,gadget_dave91,This new mesh WiFi system covers my entire house perfectly. No more dead zones. Setup took like 5 minutes. Absolutely love it.,2024-06-16 12:18:00,product_shill,product_review_bot,1,2024-02-01,165,881,466,74,1,1,0,1,0.1873
1000045,gadget_dave91,Picked up the new Apple Watch and the health tracking features are insane. Heart rate monitoring saved my buddy's life honestly.,2024-06-17 10:45:00,product_shill,product_review_bot,1,2024-02-01,165,881,466,74,1,1,0,1,0.1873
1000046,gadget_dave91,This robot vacuum mop combo is the best thing I've ever bought. My floors are spotless and I didn't lift a finger.,2024-06-18 13:30:00,product_shill,product_review_bot,1,2024-02-01,165,881,466,74,1,1,0,1,0.1873
1000047,gadget_dave91,Got the new AirPods Pro and the spatial audio is mind blowing. Feels like you're in a concert hall. Worth every penny.,2024-06-19 11:55:00,product_shill,product_review_bot,1,2024-02-01,165,881,466,74,1,1,0,1,0.1873
1000048,gadget_dave91,This 4K projector turned my living room into a movie theater. Picture quality is absolutely stunning. Best entertainment purchase ever.,2024-06-20 09:22:00,product_shill,product_review_bot,1,2024-02-01,165,881,466,74,1,1,0,1,0.1873
1000049,gadget_dave91,Just set up this smart doorbell camera and the video quality is crystal clear even at night. Feel so much safer now.,2024-06-21 14:08:00,product_shill,product_review_bot,1,2024-02-01,165,881,466,74,1,1,0,1,0.1873
1000050,gadget_dave91,This portable Bluetooth speaker punches way above its weight. Bass is incredible for its size. Perfect for beach days and BBQs.,2024-06-22 10:40:00,product_shill,product_review_bot,1,2024-02-01,165,881,466,74,1,1,0,1,0.1873
